Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
"Levine, Alan",1976,MIT,"Rappaport, Saul B.",X-ray Astr,,,,,
"Li, Ya QI.",1993,Washington,"Holzworth, Robert H.",Geophysics,36.013,27.12,,,
"Lillie, C. F.",1968,Wisconsin,Code,Ultraviolet Astronomy,,,,,
"Lin, Chung-An",1974,Rice,"Anderson, Andrew B.",,18.112,,,,
"Lindblom, Joakim",1990,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.049,27.092,,,
"Loane, Joseph T. III",1986,Illinois,"Bowhill, Sidney A.",,,,,,
"Long, Knox",1975,CIT,"Garmire, Gordon P.",,13.104,13.106,,,
"Lowenstein, Robert S.",1973,Rice,"Anderson, Andrew B.",,18.112,,,,
"Lummerzheim, Dirk",1988,Alaska,"Wescott, Eugene M.",Plasma Physics,29.007UE,,,,
"Lupu, Roxana-Elena",2009,Johns Hopkins,"McCandliss, Stephan",Astrophysics,,,,,
"Lynch, Kristina",1992,New Hampshire,"Arnoldy, Roger",Auroral,,,,,
"MacDonald, Elizabeth",2004,New Hampshire,"Lynch, Kristina",Sierra-Sounding of the ion energization region: resolving ambiguities.,40.114,,,,
"Mack, John",1970,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astr.,,,,,
"Maclean, Phillip",1995,Pittsburgh,"Zipf, Edward C.",,,,,,
"Macy, William W.",1973,Princeton,"Jenkins, Edward B.",,4.267,,,,
"Mags, James E.",1971,Alaska,"Davis, John M.",Auroral Physics,,,,,
"Malina, Roger F.",1979,"California, Berkeley","Bowyer, C. S.",EUV Spectroscopy,P,,,,
"Mallinkrodt, A. JO.",1980,"California, Berkeley","Carlson, Charles W.",Porcupine,,,,,
"Mandelbaum, David",1974,Johns Hopkins,"Feldman, Paul D.",,,,,,
"Margon, Bruce",1973,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astr.,,,,,
"Martin, Christopher",1987,"California, Berkeley","Bowyer, C. S.",Far UV Background,,,,,
"Martinez, Mel",1995,Johns Hopkins,"Feldman, Paul D.",Galactic A,,,,,
"Martinez-Galarce, Dennis",2000,Stanford University,"Walker, Arthur B. C.",Solar sounding rocket work conducted with Black Brants at WSMR,36.194,36.091,36.049,,
"Matilsky, Terry",1971,Princeton,"Jenkins, Edward B.",,4.271,,,,
"Mayer, William",1970,MIT,"Bradt, Hale",X-ray Astr.,,,,,
"Maynard, Nelson",1966,New Hampshire,"Arnoldy, Roger",,14.79,14.8,14.81,14.82,14.85
"McAllister, Howard",1959,Colorado,Wilshusen,Solar Research,,,,,
"McCammon, Daniel",1971,Wisconsin,"Kraushaar, Bill",,4.302,,,,
"McCandliss, Stephan",1988,Colorado,Webster Cash,GALASASTRN,,,,,
"McClaughlin, Robert W.",1977,Pittsburgh,"Zipf, Edward C.",Phys. & Astro,,,,,
"McClintock, William E.",1976,Johns Hopkins,"Feldman, Paul D.",,26.006,13.047,,,
"McCoy, Robert P.",1981,Colorado,"Barth, Charles A.",LASP,,,,,
"McEntaffer, Randy",2007,Colorado,"Cash, Web",,36.224,,,,
"McFadden, James",1985,"California, Berkeley","Carlson, Charles W.",,36.006,29.021,29.018,,
"McKentire, Richard",1972,Minnesota,Winckler,,,,,,
"McKinney, Wayne R.",1974,Johns Hopkins,"Moos, Warren",,13.047,,,,
"McLean, Ryan",2000,Colorado,"Green, James C.",GALACASTRN,,,,,
"McPhate, Jason B.",1998,Johns Hopkins,"Feldman, Paul D.",Carbon Monoxide in Comets,,,,,
"Meir, Robert",1966,Pittsburgh,"Zipf, Edward C.",Sodium-Dayglow,,,,,
"Meira, L. GL. Jr.",1970,Colorado,"Barth, Charles A.",Aeronomy,14.389,14.39,,,
"Mendenhall, Jeffery",1993,Penn State,"Burrows, David",,,,,,
"Menengini, Robert",1974,Michigan,Carignan,EE,,,,,
"Meredith, Leslie H.",1954,Iowa,"Van Allen, J. A.",Cosmic Rays/Rockoon System - Arctic,,,,,
"Michell, Robert G.",2007,Dartmouth College,"Lynch, Kristina",High Freq waves in the Auroral Ionosphere,40.01,,,,
"Miller, Ray",1965,Johns Hopkins,Fastie,,,,,,
"Miller, Kent L.",1977,Illinois,"Bowhill, Sidney A.",,,,,,
"Moore, Thomas E.",1978,Univ. of Colorado,"T W Speiser, D S Evans",,29.003,,,,
"Moore, William",1975,CIT,"Garmire, Gordon P.",,13.064,,,,
"Morgan, Barry",1975,New Hampshire,"Arnoldy, Roger",Auroral,,,,,
"Morgenthaler, Jeff",1998,University of Wisconsin,"McCammon, Dan",,,,,,
"Morrisey, Patrick F.",1996,Johns Hopkins,"Feldman, Paul D.",Galactic,,,,,
"Morrison, James",1979,Wisconsin,"Kraushaar, Bill",,,,,,
"Mumma, Michael",1970,Pittsburgh,"Zipf, Edward C.",,,,,,
"Munninghoff, Donald E.",1978,Illinois,"Bowhill, Sidney A.",,,,,,
"Murphree, John S.",1975,Rice,"Anderson, Andrew B.",,18.158,,,,
"Murthy, Jayant N.",1986,Johns Hopkins,"Feldman, Paul D.",UVX,STS-61C,,,,
"Neekins, John",1973,Catholic,Werntz,Solar X-rays,,,,,
"Niemann, Hasso B.",1969,Michigan,Carignan,EE,,,,,
"Nishikida, Kaori",1999,Penn State,"Burrows, David",,,,,,
"Norton, Richard B.",1967,Colorado,"Barth, Charles A.",Aeronomy,,,,,
"Nousek, John A.",1978,Wisconsin,"Kraushaar, Bill",,13.103,13.049,,,
