ID,Science,PI,Institution,Name,LaunchSite,Date,Year,Apogee,Vehicle,Impact
46.001,UE,Kudeki,University of Illinois,EVEX,Kwajalein,5/7/2013,2013,182.9,TERRIER MK70 IMP MALEMUTE,281.3
45.005,UE,Kudeki,University of Illinois,EVEX,Kwajalein,5/7/2013,2013,331,TERRIER MK70 ORIOLE,298.4
36.268,UG,McCandliss,Johns Hopkins University,FORTISS,WSMR,5/10/2013,2013,280.7,Terrier Mk 70 BB Mk3 V-1,80.4
40.03,UG,Bock,CalTech/Jet Propulsion Lab,CIBER,WFF,6/5/2013,2013,577.2,Talos - Taurus - BB - Nihka,671
41.106,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/20/2013,2013,117.8,TERRIER MK 12/IMPROVED ORION W/CLAMP RELEASE,59.2
21.14,GE,Pfaff,NASA/Goddard Space Flight Center,Daytime Dynamo,WFF,7/4/2013,2013,135,BLACK BRANT (4 FIN),194.5
41.09,GE,Pfaff,NASA/Goddard Space Flight Center,Daytime Dynamo,WFF,7/4/2013,2013,143,TERRIER MK 12/IMPROVED ORION W/CLAMP RELEASE,133.6
36.239,DS,Korendyke,Naval Research Lab,VERIS,WSMR,8/8/2013,2013,282.8,TERRIER MK 70 BB Mk 3,82.2
46.005,UO,Koehler,Colorado Space Grant Consortium,RockSatX,WFF,8/13/2013,2013,152,TERRIER MK 12/ IMP MALEMUTE,147.8
36.29,US,Woods,University of Colorado,EVE UCE,WSMR,10/21/2013,2013,284.7,BLACK BRANT IX MOD 2,78
36.294,UH,McCammon,University of Wisconsin,XQC,WSMR,11/3/2013,2013,298.2,BLACK BRANT IX MOD 3,84.6
36.296,UG,McCandliss,Johns Hopkins University,FORTIS,WSMR,11/20/2013,2013,278.1,BLACK BRANT IX MOD 3,85.5
36.261,UG,Clarke,Boston University,VeSpR,WSMR,11/26/2013,2013,297.9,BLACK BRANT IX MOD 3,82.3
36.287,UE,Samara,Southwest Research Institute,GREECE,PFRR,3/3/2014,2014,335.9,BLACK BRANT IX MOD 2 W/SPIN MOTORS,285.7
36.235,US,Harris,University of Washington,HYPE,WSMR,5/3/2014,2014,278.9,BLACK BRANT IX MOD 2,85.5
