Recipient,Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
109,"Stevens, John",1972,CIT,"Garmire, Gordon P.",,13.063,,,,
108,"St. Onge, Richard",1972,New Hampshire,"Lockwood, J.",Neutron Measurements,,,,,
107,"Sharp, James",1972,"Texas, Dallas","Heikkila, W. J.",ISIS-1 Auroral Study,,,,,
106,"Rusch, David W.",1972,Colorado,"Barth, Charles A.",Astro-GEOP,,,,,
105,"Rottman, Gary J.",1972,Johns Hopkins,"Moos, Warren",,4.318,13.046,,,
104,"Pongratz, Morris B.",1972,Maryland,Matthews,Auroral Physics,21.054,,,,
103,"Polucci, Gerry",1972,MIT,"Bradt, Hale",X-ray Astr,,,,,
102,"McKentire, Richard",1972,Minnesota,Winckler,,,,,,
101,"Hendrickson, R. A.",1972,Minnesota,Winckler,,,,,,
100,"Guha, Dipak",1972,Illinois,"Bowhill, Sidney A.",,,,,,
99,"Gilra, Daya P.",1972,Wisconsin,Code,Ultraviolet Astronomy,,,,,
98,"Gallagher, John S. III",1972,Wisconsin,Scherb,Ultraviolet Astronomy,,,,,
97,"Cartwright, David",1972,Minnesota,Winckler,,,,,,
96,"Bunting, Dave",1972,"Texas, Dallas","Heikkila, W. J.",Plasma Probe Study,,,,,
95,"Borken, Richard",1972,MIT,"Rappaport-Clark, Saul-Geo.",X-ray Astr,,,,,
94,"Tarstrup, Jens",1971,"Texas, Dallas","Heikkila, W. J.",Plasma Probe Study,,,,,
93,"Stone, Edward",1971,Pittsburgh,"Zipf, Edward C.",Ionos. Data Interpretation,,,,,
92,"Sinha, Ashok K.",1971,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
91,"Schow, Dana",1971,New Hampshire,"Lockwood, J.",Cosmic Rays,,,,,
90,"Sandel, Bill R.",1971,Rice,"Anderson, Andrew B.",,18.11,,,,
89,"Pazich, Philip M.",1971,Rice,"Anderson, Andrew B.",,18.112,,,,
88,"Park, Raymond J.",1971,Rice,"Feldman, Paul D.",,14.321,,,,
87,"McCammon, Daniel",1971,Wisconsin,"Kraushaar, Bill",,4.302,,,,
86,"Matilsky, Terry",1971,Princeton,"Jenkins, Edward B.",,4.271,,,,
85,"Mags, James E.",1971,Alaska,"Davis, John M.",Auroral Physics,,,,,
84,"Kanal, Madhoo",1971,Michigan,Carignan,Physics,,,,,
83,"Hickman, D. R.",1971,Minnesota,Cahill & Nier,,4.272,4.273,,,
82,"Gutcheck, Robert",1971,Pittsburgh,"Zipf, Edward C.",N2 Auroral Properties,,,,,
81,"Choy, Lawrence",1971,New Hampshire,"Arnoldy, Roger",,18.091,18.092,18.093,,
80,"Caldwell, John",1971,Wisconsin,Code,Ultraviolet Astronomy,,,,,
79,"Brooks, Neil",1971,Princeton,"Jenkins, Edward B.",,4.226,,,,
78,"Berkey, Frank",1971,Alaska,"Davis, John M.",Auroral Physics,,,,,
77,"Apostolis, John",1971,New Hampshire,"Arnold, Roger",Cosmic Rays,,,,,
76,"Winningham, David",1970,"Texas, Dallas","Heikkila, W. J.",ISIS-1CLFT,,,,,
75,"Vondrak, Richard R.",1970,Rice,"Anderson, Andrew B.",,14.321,,,,
74,"Ulmer, Melville P.",1970,Wisconsin,"Kraushaar, Bill",,18.025,15.032,,,
73,"Shidanardan, Kandiah",1970,Catholic,Werntz,Cosmic I.R. Rar.,,,,,
72,"Sharp, William E. III",1970,Colorado,"Barth, Charles A.",Aeronomy,18.081,18.082,,,
71,"Rhee, Chong",1970,Michigan,Carignan,EE,,,,,
70,"Rearwin, Stephen",1970,"California, San Diego",McIlwain,Ions and Electrons,,,,,
69,"Pearl, John",1970,Michigan,Carignan,Physics,,,,,
68,"Patrick, Richard",1970,Pittsburgh,"Zipf, Edward C.",NA D Region Light,,,,,
67,"Olivero, J.",1970,Michigan,"Sharp, William E.",Embry-Riddle Aeronautical Univ.,,,,,
66,"Mumma, Michael",1970,Pittsburgh,"Zipf, Edward C.",,,,,,
65,"Meira, L. GL. Jr.",1970,Colorado,"Barth, Charles A.",Aeronomy,14.389,14.39,,,
64,"Mayer, William",1970,MIT,"Bradt, Hale",X-ray Astr.,,,,,
63,"Mack, John",1970,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astr.,,,,,
62,"Kelley, Michael",1970,"California, Berkeley","Mozer, Forrest",,8.056,,,,
61,"Johnstone, Alan",1970,Alaska,"Davis, John M.",Auroral Physics,,,,,
60,"Huang, Frank",1970,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
59,"Coleson, Robert",1970,Southern California,Judge,Earth Day Glow,18.11,,,,
58,"Coleman, Philip",1970,Wisconsin,"Kraushaar, Bill",,4.175,,,,
57,"Chang, Tieh C.",1970,Maryland,Bettinger,Ionospheric Parameters,18.012,,,,
56,"Burnett, Byron",1970,MIT,"Bradt, Hale",X-ray Astr,,,,,
